relative_path	bytes	extension	file_type	sha256	duplicate_group	classification	recommended_action
Genesis Security Baseline — Detailed Executive Speaker Script.md	11577	.md	Unicode text, UTF-8 text, with very long lines (515)	d087cb3c32cf9ade236d924a84362e768b75a0a16413b6d2df336716bdce37a4		A. Current final documentation	Compare with current documentation; import only after review.
Genesis Security Baseline — Executive Review.md	5219	.md	Unicode text, UTF-8 text	2ffbda4ee90887ec5427c2e624dbca0a30c3166bdb1d154742f296a70bedda82		A. Current final documentation	Compare with current documentation; import only after review.
Genesis Security Baseline — Revised Controls.md	3841	.md	Unicode text, UTF-8 text	21567a9a30eeae7499060d568e74700c5e69b1e69d599a6a9f1f470568b7b6fb		A. Current final documentation	Compare with current documentation; import only after review.
Genesis Security Baseline — Revised Controls.pptx	470969	.pptx	Zip archive data, at least v1.0 to extract, compression method=store	ed2a368bb1fdd47307d5a92d6f671e80275415417efbe5853a1e57e2cc0fe69c		B. Historical evidence	Retain as historical evidence; compare claims with current source.
Genesis Security Baseline — Revised Executive Deck Script.md	11598	.md	Unicode text, UTF-8 text, with very long lines (385)	0d79aceafd9e01f954f3ef27c3282b3713b2670ec986af036579c53cf875e9b8		A. Current final documentation	Compare with current documentation; import only after review.
Genesis Security Baseline.pptx	1779678	.pptx	Zip archive data, at least v1.0 to extract, compression method=store	5983214d6a6a65e3ef42a3f44ecf84baac142a76017fbec9a0968b0e25adccab		B. Historical evidence	Retain as historical evidence; compare claims with current source.
Genesis Security Baseline: Governance, AI-Assistance Gates, Audit Remediation Review, and Container Data-Safety Safeguard.md	18948	.md	Unicode text, UTF-8 text, with very long lines (503)	b95ca16e8681440a9af9ff680c199ccb7591c161e8aa9fe86dd760de95b26297		F. One-time remediation script	Retain as historical procedure; do not import blindly.
Genesis_Security_Baseline_PR69_Review_Slides.md	3362	.md	Unicode text, UTF-8 text	5855c154398d8b1ff1bd1490569e02805269987027e6b4814ca3ac53071e0e03		C. GitHub or CI evidence	Retain under evidence and reconcile with current GitHub state.
Issue #70 Exact-Deletion Refactor and Least-Privilege Failure Tests.md	15732	.md	ASCII text, with very long lines (386)	5525f516f98bd74a5df08f02ee2752a286af558e520b94090d41a14d5a92ee02		C. GitHub or CI evidence	Retain under evidence and reconcile with current GitHub state.
Issue #70 — Adversarial Security Review of Validation Teardown.md	10044	.md	Unicode text, UTF-8 text, with very long lines (417)	9853d3a424f6e530f861b31144aeaafe7574f9bab660bf0ef0d33d6c5bbd6f5d		C. GitHub or CI evidence	Retain under evidence and reconcile with current GitHub state.
Issue #70 — Validation Isolation and Guarded Teardown Protocol.md	7046	.md	Unicode text, UTF-8 text, with very long lines (376)	469fdf1d7a8b3adac1167db4ee859bba5da7ce949ce11f805c1eb1038db0f91c		C. GitHub or CI evidence	Retain under evidence and reconcile with current GitHub state.
Least-Privilege Negative-Control Evidence Review.md	4172	.md	Unicode text, UTF-8 text, with very long lines (435)	c672b1c899bbe771f292af963b754e292890d2df8e219fc134c2eb630a669dec		C. GitHub or CI evidence	Retain under evidence and reconcile with current GitHub state.
Merged implementation evidence.md	1054	.md	ASCII text, with very long lines (313)	30afc02b7048cdfd09c801136a115f8b013e6231460491a1fbb88e9e225282fa		C. GitHub or CI evidence	Retain under evidence and reconcile with current GitHub state.
PR #69 Remediation Application and CI Verification Runbook.md	9226	.md	Unicode text, UTF-8 text, with very long lines (381)	5d9333b4756008a2a21f71722202eabb1eeee73194cbe4d8969bb046b904c5b5		F. One-time remediation script	Retain as historical procedure; do not import blindly.
Phase 4 merged-branch status.md	619	.md	ASCII text, with very long lines (334)	ffcfce7c3d3067113974bf34c7bcf3d623978a073357e8dd606a5abfcd7e7886		C. GitHub or CI evidence	Retain under evidence and reconcile with current GitHub state.
SKILL.md	4355	.md	ASCII text, with very long lines (306)	24500950677d25ebfe12f531b81e897fbe5266fe8529276a8f963ac058a9b374		A. Current final documentation	Compare with current documentation; import only after review.
STABILIZATION_POLICY.md	2098	.md	ASCII text, with very long lines (522)	8d7ace699be69331335aea49850c8fcfbee8a9e019b1fd38945c173949613c38		A. Current final documentation	Compare with current documentation; import only after review.
TokenServiceSecurityTests.cs	3448	.cs	ASCII text	8e2769bb9af222f8203a0d17d56fcaaa05bca1c5261824de33e737eb0cc9f9e5		E. Reusable automated test	Review against current source; import only if missing and still valid.
TrustController.owner_authz.cs	3758	.cs	ASCII text	3826a5186e1bb975826ef636333e95adf63c2f80f899e4e171567f2974141cd5		D. Reusable source code	Compare with canonical source before any import.
TrustControllerAuthorizationTests.cs	3096	.cs	ASCII text	318acb1bf09bf6e6c05d385e282e783153e5287dd217d2952fca013301230c87		E. Reusable automated test	Review against current source; import only if missing and still valid.
TrustService.owner_authz.cs	2115	.cs	ASCII text	86c04c806741d7342cdbc0eef3269be6702d83cb69fc249f58e1cacd60ff3644		D. Reusable source code	Compare with canonical source before any import.
_transfer_pr69_privilege_matrix.sql	5098	.sql	ASCII text, with very long lines (452)	c03e706464a677a4a38dc09cb64ffba913744e6157086f8dd3f3a61a38bd7897	DUP-c03e706464a6	G. Destructive or high-risk validation utility	Do not run against persistent databases; isolate if later approved.
add_audit_grant_test.ps1	1912	.ps1	ASCII text	3dba8a1289dacafc78b50f4cc07e05e6a5fca59568e102bcd997b50a4304c06e		G. Destructive or high-risk validation utility	Archive and manually review; isolated disposable testing only.
add_device_owner_lookup.ps1	2883	.ps1	ASCII text	404f38a46d40e4acf58153ecf567cc44280692a4b8fcb649a672d6ae15bcfd70		G. Destructive or high-risk validation utility	Archive and manually review; isolated disposable testing only.
add_identity_auth_rate_limiting.ps1	2867	.ps1	ASCII text	ee9ff3d29f36bb1550c1cd9ec10b82d5fbf74cc7ca102987ad851487731fafb8		F. One-time remediation script	Archive; do not execute automatically.
add_identity_auth_rate_limiting.tar.gz.b64	1260	.b64	ASCII text, with very long lines (1260), with no line terminators	2038860fda499d93c7a5355a433a64eb0d7c34edde67ef28df79cfaacf438c2c		K. Unrelated or incomplete material	Exclude unless human review identifies a justified use.
allow_verified_desktop_context.ps1	563	.ps1	ASCII text	89385c232ab6314b5575ac2efcbaad9534a6f94814bb0a4e68357828126a8500		F. One-time remediation script	Archive; do not execute automatically.
apply_issue70_hardening.ps1	8498	.ps1	ASCII text	654124cf46fb339ad2c7705b23b53704d45bee365b3247c78006d2a87b99d981		G. Destructive or high-risk validation utility	Archive and manually review; isolated disposable testing only.
audit_phase4_tests_docs.ps1	6993	.ps1	ASCII text, with very long lines (432)	743af4e6f06d46335fdb3a2575a180981e337c24d1fd110691b7ac80a11ee859		G. Destructive or high-risk validation utility	Archive and manually review; isolated disposable testing only.
audit_phase4_update.ps1	8347	.ps1	Unicode text, UTF-8 text	b179ba5191e7b5d219b4bd550ce667b4bcb811b172a1ecdf42996d2c84bd2640		G. Destructive or high-risk validation utility	Archive and manually review; isolated disposable testing only.
container-base-integrity.yml	528	.yml	ASCII text	4c1b472195e12b825b94eb60c43340302c9af61aed8d6ea07c34a7b8318938b8		A. Current final documentation	Compare with current documentation; import only after review.
container_base_image_policy.md	3617	.md	ASCII text, with very long lines (393)	63b94d57d5ee3c7dcadf76878d6bbdb228f295090f67b8474cd6be4c33230399		A. Current final documentation	Compare with current documentation; import only after review.
ensure_wrapper_assignment.ps1	1285	.ps1	ASCII text	762cae14a08fba12c1ce00f8ebf18d7bc16b48d3a46c0821956a46f9c93b4ea4		F. One-time remediation script	Archive; do not execute automatically.
fix_audit_fixture.ps1	527	.ps1	ASCII text	1420e5efede2e5a988600612dd5c9baeacb49432d9ca31bfaffdf8e326fafb1b		F. One-time remediation script	Archive; do not execute automatically.
fix_audit_test_factory.ps1	1547	.ps1	ASCII text	f19308c97b45e296a989e9f1871bc0a6986ac05849a1eb89c448bc42758fdf61		F. One-time remediation script	Archive; do not execute automatically.
fix_audit_test_repository.ps1	2259	.ps1	ASCII text	ac1fd0c6c8931acc8e4b2eecff2a15ed40a11070f51455c322535d2fcaf89514		F. One-time remediation script	Archive; do not execute automatically.
fix_compose_invocation.ps1	1244	.ps1	ASCII text	efc20da4dd08a0d8678c7e5014ec62155b5ddcfd3c3284bb41795c06ca760726		F. One-time remediation script	Archive; do not execute automatically.
fix_issue70_compose_names.ps1	1751	.ps1	ASCII text	0fefeb16318455b8974426a5bd14d8c250cf9b3249f5da93c5100d6d717a1b4e		F. One-time remediation script	Archive; do not execute automatically.
fix_trust_service_owner_lookup.ps1	1099	.ps1	ASCII text	2a7e9e5eb4ac83a819eafd03c7672ca604e84ab038e3866018b3016ff7e4c7c6		F. One-time remediation script	Archive; do not execute automatically.
fix_wrapper_assignments.ps1	909	.ps1	ASCII text	e345097770b88f7dcb07f58bc5dd7c007604729f22e6ef656fd5f0f5236ef3c2		F. One-time remediation script	Archive; do not execute automatically.
fix_wrapper_compose_selection.ps1	1014	.ps1	ASCII text	7e60f42ed3e08fa29131984bfd01853b3a3709aacecb22b75546dc08cdc0aeaa		F. One-time remediation script	Archive; do not execute automatically.
guard_swagger_development_only.ps1	715	.ps1	ASCII text	071b2398af06230c3e74dc736e6e2fe5e4b40448643f918a8afd5d309ac7bbcc		F. One-time remediation script	Archive; do not execute automatically.
guard_swagger_development_only.tar.gz.b64	708	.b64	ASCII text, with very long lines (708), with no line terminators	0f2d3f64f91bd103a729723e8efbf617bf8e6190abe64e67c44d2ad4687d2e88		K. Unrelated or incomplete material	Exclude unless human review identifies a justified use.
guard_swagger_exact.ps1	1725	.ps1	ASCII text	0940ab876343a4ae26a2480c6b20de732228afdce3baa8c6e122774cb0514785		F. One-time remediation script	Archive; do not execute automatically.
guard_swagger_exact.tar.gz.b64	904	.b64	ASCII text, with very long lines (904), with no line terminators	f7e5951be012b97c869516939c298b43e7feaa7515ecb119af6c7db785bf2ad6		K. Unrelated or incomplete material	Exclude unless human review identifies a justified use.
guard_swagger_regex.ps1	773	.ps1	ASCII text	ed076556edc033f46df10cab6d9261350bee15d2a6cf6bee317b2da28452abcb		F. One-time remediation script	Archive; do not execute automatically.
guard_swagger_regex.tar.gz.b64	728	.b64	ASCII text, with very long lines (728), with no line terminators	09f57f1ad9b4775315a9c611e45d02aad232ec804affb2e1a0367f104b0d2e4d		K. Unrelated or incomplete material	Exclude unless human review identifies a justified use.
insert_trust_owner_impl.ps1	732	.ps1	ASCII text	648028da142ee5ab34388d707bd12effa3045899480089a6167fa5bd1d01dd12		F. One-time remediation script	Archive; do not execute automatically.
issue58_phase4_security_scope.md	3638	.md	ASCII text, with very long lines (509)	8aa381db2e26773f6334614d6ba52369b91cdcb40cc2d8dcaeac14a825c8444d		A. Current final documentation	Compare with current documentation; import only after review.
issue58_postmerge.md	383	.md	Unicode text, UTF-8 text, with very long lines (354)	0ae75f70a0d7ad89c220a19ff6af1bc1693ff00648ec87bb1b37a1ec89c20cab		A. Current final documentation	Compare with current documentation; import only after review.
issue60_audit_blocker.md	1539	.md	Unicode text, UTF-8 text, with very long lines (413)	b92e8c586a61980529c74b3fcc8fa3edb0983bf01f8a3f5b781441d468daa5ba		A. Current final documentation	Compare with current documentation; import only after review.
issue61_device_trust_authorization_blocker.md	2218	.md	Unicode text, UTF-8 text, with very long lines (611)	3d00801a41d5fbe60e1a0d9588e28ba996dfea7c663dea77aac236ac1f35d483		A. Current final documentation	Compare with current documentation; import only after review.
issue61_gate_update.md	899	.md	Unicode text, UTF-8 text, with very long lines (330)	3e4c7c4e71379814e0817666656d53142b3defc5b95a65caad0fa30095d038f6		A. Current final documentation	Compare with current documentation; import only after review.
issue61_postmerge.md	574	.md	ASCII text, with very long lines (322)	6fe47abfe9119d235710507389b4d91976bda7b9eb158bdb813d1cb6d412edec		A. Current final documentation	Compare with current documentation; import only after review.
issue62_container_base_pinning_blocker.md	1894	.md	Unicode text, UTF-8 text, with very long lines (536)	f0d562aead6bb440e80c9679371d45004a6ea0aefe74e5c5e4a4c3314bebfaaa		A. Current final documentation	Compare with current documentation; import only after review.
issue62_state.txt	225	.txt	ASCII text, with escape sequences	8bb6e7670fcf32e2cd3d63ce072598ad7f5a01cd47f99ae5b95560363e5209e2		A. Current final documentation	Compare with current documentation; import only after review.
issue63_state.txt	241	.txt	ASCII text, with escape sequences	2cd51d22dc35c8d36a4c7e7c63f3230aa9f88ab37c1384b923873fdd90448b12		A. Current final documentation	Compare with current documentation; import only after review.
issue63_unsupported_claims_blocker.md	2902	.md	Unicode text, UTF-8 text, with very long lines (719)	69aaea5ab5c381421a643b64ec08965ea4e911cd6455595cdad1005692846668		A. Current final documentation	Compare with current documentation; import only after review.
issue65_state.txt	229	.txt	ASCII text, with escape sequences	281897645f0635acc3119aca134f52f9d15a713c7a06c139288bbf13834f225d		A. Current final documentation	Compare with current documentation; import only after review.
issue70_body.md	1236	.md	ASCII text, with very long lines (332)	66584b712cead890e60f94a686560d86b52097bda429d8c4ab7275eaa43c29d5		A. Current final documentation	Compare with current documentation; import only after review.
issue70_gate_update.md	1104	.md	Unicode text, UTF-8 text	3f3f2b61145c9cd5c8b46d8045b4eb99b355581e114e9568b063cb86df8000af		A. Current final documentation	Compare with current documentation; import only after review.
issue70_postmerge.md	775	.md	Unicode text, UTF-8 text	406627f0c5975aee9912665ae6f304bc1dac0642a63a7225e944f461948a4783		A. Current final documentation	Compare with current documentation; import only after review.
pasted_content.txt	45625	.txt	Unicode text, UTF-8 text, with CRLF line terminators	3797697c06591af32538d844008b706432d31bfd39ce6fe4b50c651996635ef5		A. Current final documentation	Compare with current documentation; import only after review.
pasted_content_2.txt	3638	.txt	Unicode text, UTF-8 text	eaac3cc66eb4c2542ece5006814924f28ae2e65301454195b0dc432c765bf58b		A. Current final documentation	Compare with current documentation; import only after review.
pasted_content_3.txt	8250	.txt	Unicode text, UTF-8 text, with very long lines (454)	350cffe1dd2a3b9ded38a367b52f0fe3d489db90b99e76697e70b411e085b02b		A. Current final documentation	Compare with current documentation; import only after review.
phase4_sbom.yml	988	.yml	ASCII text	60dbaa23c04f88aca75da2857a75c4de2cc89043ff5b70c562d3d0db0d7ba91d		A. Current final documentation	Compare with current documentation; import only after review.
phase4_secret_management_standard.md	14574	.md	ASCII text, with very long lines (473)	26b6f2cf9f015031f7993f919c02fd3b9d669e9b7ea0730b1abadb5793760da9		A. Current final documentation	Compare with current documentation; import only after review.
phase4_security.yml	2636	.yml	ASCII text	910cf5c3c0cd8543330c34d499da48b131783b26d3ad22e8aca63ee1729832b3		A. Current final documentation	Compare with current documentation; import only after review.
phase4_threat_model.md	16835	.md	Unicode text, UTF-8 text, with very long lines (561)	d0e65ef3643a199a7a61b579ecae3058f04b2fb92324cb52f574fcaea458d758		A. Current final documentation	Compare with current documentation; import only after review.
phase5_encrypted_backup_restore.chunks	4325	.chunks	ASCII text, with very long lines (800)	fa6c365a291f339f21760583b633cba454240aa988e81c0e5af089aa6ae72dd8		K. Unrelated or incomplete material	Exclude unless human review identifies a justified use.
phase5_encrypted_backup_restore.ps1	3239	.ps1	ASCII text	b2bc7cf736594470513b78926753a6b839ff609de565acc1b44612740cfa4cd9		G. Destructive or high-risk validation utility	Archive and manually review; isolated disposable testing only.
phase5_encrypted_backup_restore.ps1.b64	4320	.b64	ASCII text, with very long lines (4320), with no line terminators	08f2bd49d3b787d26a24abd514e4664c6b5584c6f2f343c89b08538868d67834		H. Encoded payload requiring inspection	Decode only as inert data; preserve outside production paths.
phase5_encrypted_backup_restore.tar.gz.b64	1736	.b64	ASCII text, with very long lines (1736), with no line terminators	f3206404928b3066122e243ea9a793a91902cf5d2f7a0e49d80ae73a62f2385e		H. Encoded payload requiring inspection	Decode only as inert data; preserve outside production paths.
phase6_rate_limit_probe.cmd	203	.cmd	DOS batch file, ASCII text	0d7e2e845fee0c611df3df9c82231094df3bb9674ae460d5f7c26b4e01390c79		F. One-time remediation script	Archive; do not execute automatically.
phase6_rate_limit_probe.tar.gz.b64	404	.b64	ASCII text, with very long lines (404), with no line terminators	bfb3190f0194be20310b8909006fadba508069f468cf218afa8ac7938adf6e92		K. Unrelated or incomplete material	Exclude unless human review identifies a justified use.
pin_container_images.ps1	1718	.ps1	ASCII text	021af67f7d8005e8a3fe5ec6ca67f805c3f5f5b5eac30025056e68f267441d0c		G. Destructive or high-risk validation utility	Archive and manually review; isolated disposable testing only.
pin_validation_images.ps1	744	.ps1	ASCII text	7bfb2dec9e7f7f201d0c4f6383ec3e8137fa8d86227bcea4451ba063886d714f		F. One-time remediation script	Archive; do not execute automatically.
post_merge_gate_updates.md	1809	.md	Unicode text, UTF-8 text, with very long lines (354)	71fdcd9beee4eadd1141e31cee30970e82b6aeace81d08602b48598bc5b6e90f		A. Current final documentation	Compare with current documentation; import only after review.
pr59_phase4_summary.md	2994	.md	Unicode text, UTF-8 text, with very long lines (476)	b4ff61cf198ef197c12ffdb240d62f56885faaabe49bc5ff989196549f2be341		C. GitHub or CI evidence	Retain under evidence and reconcile with current GitHub state.
pr64.json	35787	.json	ASCII text, with very long lines (2291), with escape sequences	1002e5f38dd7dd4b4f164f4e1efdc9cf22da10774d207c160432c9d4ee2756e5		C. GitHub or CI evidence	Retain under evidence; current GitHub state is authoritative.
pr64_checks_summary.json	1189	.json	JSON text data	010bdf342b624b3d4dd9d90df9855ddef51aa036aacf23bd0b01a1895e718c8f		C. GitHub or CI evidence	Retain under evidence; current GitHub state is authoritative.
pr66.json	34163	.json	ASCII text, with very long lines (658), with escape sequences	9ef90c0800fc8df84a7e86441f4ba1a4717b685a1418d5abd8a4c4dc6381d5b3		C. GitHub or CI evidence	Retain under evidence; current GitHub state is authoritative.
pr66_checks_summary.json	1189	.json	JSON text data	c59f8de3d475e0a3c652d33bd78abd9bc52fab2d723d0c82e635e69b9750c57b		C. GitHub or CI evidence	Retain under evidence; current GitHub state is authoritative.
pr67.json	35638	.json	ASCII text, with very long lines (2151), with escape sequences	412a6edeeb7955087985c9b3f2c4707401cc6125bb76446e8e887d5050173843		C. GitHub or CI evidence	Retain under evidence; current GitHub state is authoritative.
pr67_checks.json	194530	.json	ASCII text, with escape sequences	faa2c3f9dbc6476ddfe79bbb951e76ff16ab6522afd9828f00e487abb1ebb982		C. GitHub or CI evidence	Retain under evidence; current GitHub state is authoritative.
pr67_checks_summary.json	1184	.json	JSON text data	082fe4cfefd3ab5f27dc15556490230810f7697809dd8145dbfa1bbb4a2a61bf		C. GitHub or CI evidence	Retain under evidence; current GitHub state is authoritative.
pr69_files.json	35175	.json	Unicode text, UTF-8 text, with very long lines (2638), with escape sequences	e342b9585e5898ee8257935c4af02b0ccd8a65f929d6e36cef103856f5ff6c45		C. GitHub or CI evidence	Retain under evidence; current GitHub state is authoritative.
pr69_privilege_matrix.sql	5098	.sql	ASCII text, with very long lines (452)	c03e706464a677a4a38dc09cb64ffba913744e6157086f8dd3f3a61a38bd7897	DUP-c03e706464a6	G. Destructive or high-risk validation utility	Do not run against persistent databases; isolate if later approved.
pr_claims_remediation_summary.md	2217	.md	ASCII text, with very long lines (425)	c960c6355a45632f8251e5860baac3a3540d0daf72b275073c4c888911163565		F. One-time remediation script	Retain as historical procedure; do not import blindly.
pr_container_pinning_summary.md	2076	.md	ASCII text, with very long lines (466)	df7b1fa328123a0509fad75bdb398b596e186176ecedc664da4758a63d770e8c		C. GitHub or CI evidence	Retain under evidence and reconcile with current GitHub state.
pr_device_authz_summary.md	2049	.md	ASCII text, with very long lines (434)	b5b2c6b619db1c5f50013c0005736249c375a67ab3837ebc2ab1bc60940ac970		C. GitHub or CI evidence	Retain under evidence and reconcile with current GitHub state.
remediate_unsupported_claims.ps1	2896	.ps1	JavaScript source, ASCII text	2354b655b7eddaacc7698d930b07c851f049ecc9bb499529b07d472ce4e40b0e		F. One-time remediation script	Archive; do not execute automatically.
repair_compose_function.ps1	1285	.ps1	ASCII text	347c1455b0db6cac54e53d7f75a00fbe31364bb1ae9ca217af740eb4a6ae9a2c		F. One-time remediation script	Archive; do not execute automatically.
repair_compose_function2.ps1	1235	.ps1	ASCII text	9794b6a8adaed5e41e8d74ae289a287fb4574ff12bf41006f68769998653b136		F. One-time remediation script	Archive; do not execute automatically.
repair_compose_function3.ps1	1216	.ps1	ASCII text	a30a932c4e08f51e81453381050a386a5e83725957b26bc4f07bc8f1b3370f7f		F. One-time remediation script	Archive; do not execute automatically.
repair_issue70_extra_volume_test.ps1	1728	.ps1	ASCII text	116f9767c3d844a401eb68bfc8fd4eb7b83a48e8baeb4ec1111d124a09d488b2		G. Destructive or high-risk validation utility	Archive and manually review; isolated disposable testing only.
repair_malformed_compose_assignment.ps1	1085	.ps1	ASCII text	9be262cb9f955480976533e0fa98be44e319d9cf531ae85dc0238b1f906bd5f8		F. One-time remediation script	Archive; do not execute automatically.
replace_issue70_validation_compose.ps1	2566	.ps1	ASCII text	8d622615477048e768c08bf58b0efba36750c19e80d7b3b5f1b35120dce7ed97		F. One-time remediation script	Archive; do not execute automatically.
repository_governance.md	2822	.md	Unicode text, UTF-8 text, with very long lines (381)	d6e3c7680d24cf84e1d21edde24a85c2f9710eecef0bd69898bc1926699c89dd		A. Current final documentation	Compare with current documentation; import only after review.
trim_validation_files.ps1	646	.ps1	ASCII text	fe9cf410506a67f40810f86a804320c188bb3665eb48d02837b7d3e9ad87a70c		F. One-time remediation script	Archive; do not execute automatically.
validate-container-image-digests.sh	2020	.sh	Bourne-Again shell script, ASCII text executable	762edfb388920500cf9ef2e5929957e1a1f69bf4dca8cb4984e2a84ceaf2eb5f		F. One-time remediation script	Archive; do not execute automatically.
verify_staging_audit_privileges.sh	6743	.sh	Bourne-Again shell script, ASCII text executable	bd496144895a04c2cb6928be9f7b815ac669147f6a249925ab18a9ab5244b7ef		G. Destructive or high-risk validation utility	Archive and manually review; isolated disposable testing only.
worktree_inventory.md	4728	.md	ASCII text, with very long lines (372)	69daa18a432c539cd4fe4d413be23c55908abe02e321a0b82f38f3de61c44157		A. Current final documentation	Compare with current documentation; import only after review.
