severity	relative_path	line	behavior	redacted_excerpt	recommended_treatment
MEDIUM	Issue #70 Exact-Deletion Refactor and Least-Privilege Failure Tests.md	135	filesystem overwrite	$Value | ConvertTo-Json -Depth 6 | Set-Content -LiteralPath $temporary -Encoding utf8NoBOM	Do not execute/import automatically; review in isolated environment.
HIGH	Issue #70 Exact-Deletion Refactor and Least-Privilege Failure Tests.md	136	forced filesystem overwrite/move	Move-Item -LiteralPath $temporary -Destination $manifestPath -Force	Do not execute/import automatically; review in isolated environment.
CRITICAL	Issue #70 Exact-Deletion Refactor and Least-Privilege Failure Tests.md	160	Docker volume deletion	& docker volume rm $fresh.Name	Do not execute/import automatically; review in isolated environment.
HIGH	Issue #70 Exact-Deletion Refactor and Least-Privilege Failure Tests.md	172	filesystem deletion	Remove-Item -LiteralPath $manifestPath -Force	Do not execute/import automatically; review in isolated environment.
HIGH	Issue #70 Exact-Deletion Refactor and Least-Privilege Failure Tests.md	172	forced filesystem overwrite/move	Remove-Item -LiteralPath $manifestPath -Force	Do not execute/import automatically; review in isolated environment.
CRITICAL	Issue #70 Exact-Deletion Refactor and Least-Privilege Failure Tests.md	250	Docker volume deletion	& docker volume rm $extra *> $null	Do not execute/import automatically; review in isolated environment.
HIGH	Issue #70 Exact-Deletion Refactor and Least-Privilege Failure Tests.md	281	filesystem deletion	finally { Remove-Item Env:DOCKER_HOST -ErrorAction SilentlyContinue }	Do not execute/import automatically; review in isolated environment.
HIGH	Issue #70 Exact-Deletion Refactor and Least-Privilege Failure Tests.md	310	process creation	def psql(sql: str) -> subprocess.CompletedProcess[str]:	Do not execute/import automatically; review in isolated environment.
HIGH	Issue #70 Exact-Deletion Refactor and Least-Privilege Failure Tests.md	313	process creation	return subprocess.run(	Do not execute/import automatically; review in isolated environment.
HIGH	Issue #70 Exact-Deletion Refactor and Least-Privilege Failure Tests.md	322	process creation	def run_probe() -> subprocess.CompletedProcess[str]:	Do not execute/import automatically; review in isolated environment.
HIGH	Issue #70 Exact-Deletion Refactor and Least-Privilege Failure Tests.md	325	process creation	return subprocess.run(	Do not execute/import automatically; review in isolated environment.
CRITICAL	Issue #70 — Adversarial Security Review of Validation Teardown.md	41	Docker volume deletion	7. Remove only those volume IDs with `docker volume rm <validated-id>`.	Do not execute/import automatically; review in isolated environment.
HIGH	Issue #70 — Adversarial Security Review of Validation Teardown.md	65	container command execution	## H-02 — Pin the Docker execution target	Do not execute/import automatically; review in isolated environment.
CRITICAL	Issue #70 — Adversarial Security Review of Validation Teardown.md	128	Docker volume deletion	& docker volume rm $volume.id	Do not execute/import automatically; review in isolated environment.
HIGH	PR #69 Remediation Application and CI Verification Runbook.md	46	database/data deletion	| Principal | INSERT | SELECT | UPDATE | DELETE | TRUNCATE |	Do not execute/import automatically; review in isolated environment.
HIGH	TokenServiceSecurityTests.cs	79	possible credential-like assignment	const string rawToken=[REDACTED]	Do not execute/import automatically; review in isolated environment.
CRITICAL	_transfer_pr69_privilege_matrix.sql	3	database destructive DDL	DROP TABLE IF EXISTS security_audit_logs CASCADE;	Do not execute/import automatically; review in isolated environment.
CRITICAL	_transfer_pr69_privilege_matrix.sql	4	database destructive DDL	DROP ROLE IF EXISTS acing_identity;	Do not execute/import automatically; review in isolated environment.
CRITICAL	_transfer_pr69_privilege_matrix.sql	5	database destructive DDL	DROP ROLE IF EXISTS acing_device_trust;	Do not execute/import automatically; review in isolated environment.
CRITICAL	_transfer_pr69_privilege_matrix.sql	6	database destructive DDL	DROP ROLE IF EXISTS acing_audit_reader;	Do not execute/import automatically; review in isolated environment.
HIGH	_transfer_pr69_privilege_matrix.sql	25	database/data deletion	REVOKE UPDATE, DELETE, TRUNCATE ON TABLE security_audit_logs FROM acing_identity, acing_device_trust, acing_audit_reader;	Do not execute/import automatically; review in isolated environment.
HIGH	_transfer_pr69_privilege_matrix.sql	34	database/data deletion	IF NOT has_table_privilege('acing_identity','security_audit_logs','INSERT') OR has_table_privilege('acing_identity','security_audit_logs','SELECT') OR has_table_privilege('acing_identity','security_audit_logs','UPDATE') OR has_table_privile	Do not execute/import automatically; review in isolated environment.
HIGH	_transfer_pr69_privilege_matrix.sql	35	database/data deletion	IF NOT has_table_privilege('acing_device_trust','security_audit_logs','INSERT') OR has_table_privilege('acing_device_trust','security_audit_logs','SELECT') OR has_table_privilege('acing_device_trust','security_audit_logs','UPDATE') OR has_t	Do not execute/import automatically; review in isolated environment.
HIGH	_transfer_pr69_privilege_matrix.sql	36	database/data deletion	IF NOT has_table_privilege('acing_audit_reader','security_audit_logs','SELECT') OR has_table_privilege('acing_audit_reader','security_audit_logs','INSERT') OR has_table_privilege('acing_audit_reader','security_audit_logs','UPDATE') OR has_t	Do not execute/import automatically; review in isolated environment.
HIGH	_transfer_pr69_privilege_matrix.sql	43	database/data deletion	BEGIN DELETE FROM security_audit_logs WHERE trace_id='trace-identity'; RAISE EXCEPTION 'acing_identity DELETE unexpectedly succeeded'; EXCEPTION WHEN insufficient_privilege THEN RAISE NOTICE 'PASS: acing_identity DELETE rejected'; END;	Do not execute/import automatically; review in isolated environment.
HIGH	_transfer_pr69_privilege_matrix.sql	50	database/data deletion	BEGIN DELETE FROM security_audit_logs WHERE trace_id='trace-device'; RAISE EXCEPTION 'acing_device_trust DELETE unexpectedly succeeded'; EXCEPTION WHEN insufficient_privilege THEN RAISE NOTICE 'PASS: acing_device_trust DELETE rejected'; END	Do not execute/import automatically; review in isolated environment.
HIGH	_transfer_pr69_privilege_matrix.sql	58	database/data deletion	BEGIN DELETE FROM security_audit_logs WHERE trace_id='trace-identity'; RAISE EXCEPTION 'acing_audit_reader DELETE unexpectedly succeeded'; EXCEPTION WHEN insufficient_privilege THEN RAISE NOTICE 'PASS: reader DELETE rejected'; END;	Do not execute/import automatically; review in isolated environment.
HIGH	add_audit_grant_test.ps1	38	database/data deletion	DELETE FROM security_audit_logs	Do not execute/import automatically; review in isolated environment.
MEDIUM	add_audit_grant_test.ps1	46	filesystem overwrite	"'@ | Set-Content -LiteralPath ""$directory\validate_audit_immutability.sql"" -Encoding utf8"	Do not execute/import automatically; review in isolated environment.
HIGH	add_device_owner_lookup.ps1	46	filesystem deletion	Remove-Item -LiteralPath $controllerSource -Force	Do not execute/import automatically; review in isolated environment.
HIGH	add_device_owner_lookup.ps1	46	forced filesystem overwrite/move	Remove-Item -LiteralPath $controllerSource -Force	Do not execute/import automatically; review in isolated environment.
MEDIUM	allow_verified_desktop_context.ps1	5	filesystem overwrite	Set-Content -LiteralPath $path -Value $text -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
MEDIUM	apply_issue70_hardening.ps1	26	filesystem overwrite	Set-Content -LiteralPath (Join-Path $root 'infrastructure\docker-compose.validation.yml') -Value $override -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
MEDIUM	apply_issue70_hardening.ps1	93	filesystem overwrite	$value | ConvertTo-Json -Depth 6 | Set-Content $tmp -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
HIGH	apply_issue70_hardening.ps1	94	forced filesystem overwrite/move	Move-Item $tmp $manifestPath -Force	Do not execute/import automatically; review in isolated environment.
CRITICAL	apply_issue70_hardening.ps1	108	Docker volume deletion	& docker volume rm $fresh.Name	Do not execute/import automatically; review in isolated environment.
HIGH	apply_issue70_hardening.ps1	111	filesystem deletion	Remove-Item $manifestPath -Force	Do not execute/import automatically; review in isolated environment.
HIGH	apply_issue70_hardening.ps1	111	forced filesystem overwrite/move	Remove-Item $manifestPath -Force	Do not execute/import automatically; review in isolated environment.
MEDIUM	apply_issue70_hardening.ps1	132	filesystem overwrite	Set-Content -LiteralPath (Join-Path $scriptDir 'validation-stack.ps1') -Value $wrapper -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
CRITICAL	apply_issue70_hardening.ps1	152	Docker volume deletion	& docker volume rm $extra *> $null	Do not execute/import automatically; review in isolated environment.
MEDIUM	apply_issue70_hardening.ps1	156	filesystem overwrite	Set-Content -LiteralPath (Join-Path $scriptDir 'Test-ValidationStackExtraVolume.ps1') -Value $edge -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
MEDIUM	apply_issue70_hardening.ps1	172	filesystem overwrite	Set-Content -LiteralPath (Join-Path $scriptDir 'validation-stack.Tests.ps1') -Value $tests -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
MEDIUM	audit_phase4_tests_docs.ps1	29	filesystem overwrite	"'@ | Set-Content -LiteralPath ""$tests\Audit.Tests.csproj"" -Encoding utf8"	Do not execute/import automatically; review in isolated environment.
MEDIUM	audit_phase4_tests_docs.ps1	53	filesystem overwrite	"'@ | Set-Content -LiteralPath ""$tests\AuditApiFactory.cs"" -Encoding utf8"	Do not execute/import automatically; review in isolated environment.
MEDIUM	audit_phase4_tests_docs.ps1	115	filesystem overwrite	"'@ | Set-Content -LiteralPath ""$tests\AuditAuthorizationTests.cs"" -Encoding utf8"	Do not execute/import automatically; review in isolated environment.
HIGH	audit_phase4_tests_docs.ps1	135	database/data deletion	The database migration `008_audit_immutable_grants.sql` revokes `UPDATE`, `DELETE`, and `TRUNCATE` from `PUBLIC`, `acing_identity`, and `acing_device_trust`. It grants `INSERT` only to the approved producer roles and `SELECT` only to `acing	Do not execute/import automatically; review in isolated environment.
MEDIUM	audit_phase4_tests_docs.ps1	144	filesystem overwrite	"'@ | Set-Content -LiteralPath ""$docs\AUDIT_SERVICE_DEPLOYMENT.md"" -Encoding utf8"	Do not execute/import automatically; review in isolated environment.
MEDIUM	audit_phase4_update.ps1	22	filesystem overwrite	"'@ | Set-Content -LiteralPath ""$root\Audit.csproj"" -Encoding utf8"	Do not execute/import automatically; review in isolated environment.
HIGH	audit_phase4_update.ps1	32	possible credential-like assignment	var connectionString=[REDACTED]	Do not execute/import automatically; review in isolated environment.
MEDIUM	audit_phase4_update.ps1	74	filesystem overwrite	"'@ | Set-Content -LiteralPath ""$root\Program.cs"" -Encoding utf8"	Do not execute/import automatically; review in isolated environment.
MEDIUM	audit_phase4_update.ps1	88	filesystem overwrite	"'@ | Set-Content -LiteralPath ""$root\Models\AuditLogRecord.cs"" -Encoding utf8"	Do not execute/import automatically; review in isolated environment.
MEDIUM	audit_phase4_update.ps1	104	filesystem overwrite	"'@ | Set-Content -LiteralPath ""$root\Data\IAuditLogRepository.cs"" -Encoding utf8"	Do not execute/import automatically; review in isolated environment.
MEDIUM	audit_phase4_update.ps1	156	filesystem overwrite	"'@ | Set-Content -LiteralPath ""$root\Data\PostgresAuditLogRepository.cs"" -Encoding utf8"	Do not execute/import automatically; review in isolated environment.
MEDIUM	audit_phase4_update.ps1	194	filesystem overwrite	"'@ | Set-Content -LiteralPath ""$root\Controllers\AuditController.cs"" -Encoding utf8"	Do not execute/import automatically; review in isolated environment.
HIGH	audit_phase4_update.ps1	199	database/data deletion	REVOKE UPDATE, DELETE, TRUNCATE ON TABLE security_audit_logs FROM PUBLIC;	Do not execute/import automatically; review in isolated environment.
HIGH	audit_phase4_update.ps1	200	database/data deletion	REVOKE UPDATE, DELETE, TRUNCATE ON TABLE security_audit_logs FROM acing_identity;	Do not execute/import automatically; review in isolated environment.
HIGH	audit_phase4_update.ps1	201	database/data deletion	REVOKE UPDATE, DELETE, TRUNCATE ON TABLE security_audit_logs FROM acing_device_trust;	Do not execute/import automatically; review in isolated environment.
MEDIUM	audit_phase4_update.ps1	216	filesystem overwrite	'@ | Set-Content -LiteralPath $migration -Encoding utf8	Do not execute/import automatically; review in isolated environment.
MEDIUM	ensure_wrapper_assignment.ps1	20	filesystem overwrite	Set-Content -LiteralPath $path -Value $out -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
MEDIUM	fix_audit_test_factory.ps1	33	filesystem overwrite	'@ | Set-Content -LiteralPath $path -Encoding utf8	Do not execute/import automatically; review in isolated environment.
MEDIUM	fix_audit_test_repository.ps1	48	filesystem overwrite	'@ | Set-Content -LiteralPath $path -Encoding utf8	Do not execute/import automatically; review in isolated environment.
MEDIUM	fix_compose_invocation.ps1	20	filesystem overwrite	Set-Content -LiteralPath $path -Value $out -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
MEDIUM	fix_issue70_compose_names.ps1	51	filesystem overwrite	Set-Content -LiteralPath (Join-Path $root 'infrastructure\docker-compose.validation.yml') -Value $override -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
MEDIUM	fix_wrapper_assignments.ps1	13	filesystem overwrite	Set-Content -LiteralPath $path -Value $out -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
MEDIUM	fix_wrapper_compose_selection.ps1	6	filesystem overwrite	Set-Content -LiteralPath $path -Value $text -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
HIGH	issue61_gate_update.md	5	database/data deletion	Observed probes passed for producer INSERT, producer UPDATE denial, producer DELETE denial, producer TRUNCATE denial, reader SELECT, reader INSERT denial, reader UPDATE denial, reader DELETE denial, and reader TRUNCATE denial. The existing 	Do not execute/import automatically; review in isolated environment.
HIGH	issue61_postmerge.md	3	database/data deletion	PR #69 is merged. In the isolated PostgreSQL validation database, the effective matrix was verified as `acing_identity=INSERT`, `acing_device_trust=INSERT`, and `acing_audit_reader=SELECT`. Producer UPDATE/DELETE/TRUNCATE and reader INSERT/	Do not execute/import automatically; review in isolated environment.
HIGH	phase5_encrypted_backup_restore.ps1	33	Base64 decoding	[System.IO.File]::WriteAllBytes($restoreBackupPath, [System.Convert]::FromBase64String($decryptedPayload))	Do not execute/import automatically; review in isolated environment.
HIGH	phase5_encrypted_backup_restore.ps1	43	container command execution	& docker exec acing-postgres dropdb -U acing_admin --if-exists $restoreDatabase	Do not execute/import automatically; review in isolated environment.
HIGH	phase5_encrypted_backup_restore.ps1	46	container command execution	& docker exec acing-postgres createdb -U acing_admin $restoreDatabase	Do not execute/import automatically; review in isolated environment.
HIGH	phase5_encrypted_backup_restore.ps1	49	container command execution	& docker exec acing-postgres pg_restore -U acing_admin -d $restoreDatabase --exit-on-error /tmp/acing_iu_restore.dump	Do not execute/import automatically; review in isolated environment.
HIGH	phase5_encrypted_backup_restore.ps1	52	container command execution	$migrationCount = (& docker exec acing-postgres psql -U acing_admin -d $restoreDatabase -tAc 'SELECT count(*) FROM schema_migrations;').Trim()	Do not execute/import automatically; review in isolated environment.
HIGH	phase5_encrypted_backup_restore.ps1	57	container command execution	& docker exec acing-postgres rm -f /tmp/acing_iu_restore.dump	Do not execute/import automatically; review in isolated environment.
HIGH	phase5_encrypted_backup_restore.ps1	60	filesystem deletion	Remove-Item -LiteralPath $restoreBackupPath -Force	Do not execute/import automatically; review in isolated environment.
HIGH	phase5_encrypted_backup_restore.ps1	60	forced filesystem overwrite/move	Remove-Item -LiteralPath $restoreBackupPath -Force	Do not execute/import automatically; review in isolated environment.
HIGH	phase5_encrypted_backup_restore.ps1	61	filesystem deletion	Remove-Item -LiteralPath $plainBackupPath -Force	Do not execute/import automatically; review in isolated environment.
HIGH	phase5_encrypted_backup_restore.ps1	61	forced filesystem overwrite/move	Remove-Item -LiteralPath $plainBackupPath -Force	Do not execute/import automatically; review in isolated environment.
MEDIUM	phase6_rate_limit_probe.cmd	3	remote content/network access	"for /f %%s in ('curl.exe -s -o NUL -w ""%%{http_code}"" -X POST http://localhost:8080/api/auth/login -H ""Content-Type: application/json"" -d ""{}""') do echo %%i:%%s"	Do not execute/import automatically; review in isolated environment.
HIGH	pin_container_images.ps1	36	filesystem deletion	Get-ChildItem -LiteralPath $root -File -Filter '*-manifest.json' | Remove-Item -Force	Do not execute/import automatically; review in isolated environment.
HIGH	pin_container_images.ps1	36	forced filesystem overwrite/move	Get-ChildItem -LiteralPath $root -File -Filter '*-manifest.json' | Remove-Item -Force	Do not execute/import automatically; review in isolated environment.
MEDIUM	pin_validation_images.ps1	6	filesystem overwrite	Set-Content -LiteralPath $path -Value $text -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
HIGH	post_merge_gate_updates.md	15	database/data deletion	PR #69 is merged. In the isolated PostgreSQL validation database, the effective matrix was verified as `acing_identity=INSERT`, `acing_device_trust=INSERT`, and `acing_audit_reader=SELECT`. Producer UPDATE/DELETE/TRUNCATE and reader INSERT/	Do not execute/import automatically; review in isolated environment.
HIGH	pr69_files.json	120	possible credential-like assignment	"[1;34m""patch""[m[1;37m:[m [32m""@@ -1,13 +1,49 @@\n+﻿using AcingIU.Audit.Data;\n+using Microsoft.AspNetCore.Authentication.JwtBearer;\n+using Microsoft.IdentityModel.Tokens;\n+using System.Security.Claims;\n+using System.Text;\n+\n var b"	Do not execute/import automatically; review in isolated environment.
